School,Address,Curriculum,Rate
International Academic School,Al Wathba,American,Acceptable 
Baniyas International Private School,Baniyas East,American,Acceptable 
Virginia International Private School,Khalifa City,American,Acceptable 
Summit International School,Mohamed Bin Zayed City,American,Acceptable 
Elite (Al Nukhba) Private School,Mohamed Bin Zayed City,American,Acceptable 
Al Sorouh American School,Shakbout City,American,Acceptable 
ICS Mushrif International Community Schools,Al Mushrif,American,Good
Al Bateen Scientific Private School,Al Nahyan,American,Good
Ajyal International School,Al Falah City,American,Good
Al Yasat Private School,Al Shamkha,American,Good
Rawafed Private School,Khalifa City,American,Good
Al Ittihad National Private School,Khalifa City,American,Good
International Jubilee Private School,Mohamed Bin Zayed City,American,Good
Al Dhafra Private Schools,Mohamed Bin Zayed City,American,Good
Sas Al Nakhl School,Sas al Nakhl island,American,Good
Aldar Academies,Yas Island,American,Good
Sheikh Zayed Private Academy for Girls,Al Bateen,American,Very Good 
American Community School,Al Bateen,American,Very Good 
The Sheikh Zayed Private Academy for Boys,Al Khalidyah,American,Very Good 
American International School,AL Reem Island,American,Very Good 
"Horizon Private School- Branch, Khalifa City",Khalifa City,American,Very Good 
Emirates National School,Mohamed Bin Zayed City,American,Very Good 
 International School,Mohamed Bin Zayed City,American,Very Good 
Emirates National School,Al Nahyan,American,
ABC Private School,Al Shamkha,British,Acceptable 
Wales International School,Al Shamkha,British,Acceptable 
Reach British School ,Baniyas East,British,Acceptable 
Crescent International Private School,Khalifa City,British,Acceptable 
Al Shohub School,Khalifa City,British,Acceptable 
Belvedere British School,Mohamed Bin Zayed City,British,Acceptable 
Amity International School,Al Bahya,British,Good
GEMS Winchester School,"Al Danah,",British,Good
ICS City Centre - International Community Schools - Branch 1,Al Dhafrah,British,Good
Good Will Children Private School LLC,AL Musaffah,British,Good
Diyafah International Private School,Mohamed Bin Zayed City,British,Good
Ajyal International School,Mohamed Bin Zayed City,British,Good
Al Rabeeh School,,British,Good
Al Muna Academy - Aldar Academies,Al Bateen,British,Outstanding 
Al Basma British School,Al Dhafrah,British,Very Good 
"Aldar Academies, The Pearl Academy",Al Dhafrah,British,Very Good 
Merryland International School,AL Musaffah,British,Outstanding 
British School Al Khubairat,AL Mushrif,British,Outstanding 
Repton School ,AL Reem Island,British,Very Good 
"Aldar Academies, Al Yasmina Academy",Khalifa Cfty,British,Very Good 
Cranleigh  School,Saadiyat Island,British,Outstanding 
Al Ansar Private School,Al Shamkha City,British,Weak 
Aspen Heights British School,Al Bahya,British,
Al Rayyan National Private School,Rowdha,British,
"Al Nahda National School, Girls",Al Mushrif,"British, American",Acceptable 
Al Nahda National School,Al Nahyan,"British, American",Good
Al Najah Private School,Mohamed Bin Zayed City,"British, American",Good
International Indian School,Baniyas West,"British, Indian",Good
Maple Wood International School,Mohamed Bin Zayed City,Canadian,Acceptable 
Canadian International School,Khalifa City,Canadian,Good
The Philippine Global School,Al Zaafarana,Filipino,Acceptable 
The Philippine School,Baniyas East,Filipino,Acceptable 
Philippine Emirates Private School,Baniyas East,Filipino,Acceptable 
Lycee Francais Theodore Monod,Al Bateen,French,Acceptable 
Lycee Louis Massignon,Zone 1,French,Very Good 
German International School ,AL Manhal,German,Very Good 
Australian School,Shakbout City,IB,Acceptable 
GEMS World Academy,"Al Danah,",IB,Very Good 
Raha International School,Khalifa City,IB,Outstanding 
Emirates National School,Al Nahyan,"IB, American",Acceptable 
GEMS American Academy,Khalifa City,"IB, American",Very Good 
"Aldar Academies, Al Mamoura Academy",Al Nahyan,"IB, British",Good
"Aldar Academies, Al Bateen Academy",Al Manaseer Area,"IB, British",Good
British International School,Zayed City,"IB, British",Very Good 
 International School,AL Manhal,"IB, British, American",Good
GEMS Cambridge International School,Baniyas East,"IGCSE, British",Good
 Indian School,Al Zaafarana,Indian,Acceptable 
Shining Star International School,AL Musaffah,Indian,Acceptable 
The Model School,AL Musaffah,Indian,Acceptable 
 Indian School,Al Wathba,Indian,Acceptable 
Sunrise English Private School,AL Musaffah,Indian,Good
Mayoor Private School,Al Wathba,Indian,Good
GEMS United Indian School,Baniyas West,Indian,Good
Bright Riders Schoo,Mohamed Bin Zayed City,Indian,Good
Private International English School,Mohamed Bin Zayed City,Indian,Very Good 
Sheikh Khalifa Bin Zayed Bangladesh School,Zone 1,Indian,Weak 
Asian International,Mohamed Bin Zayed City,Indian,
Emirates Future International Academy,AL Musaffah,"Indian, American",Acceptable 
New Indian Model School,AL Musaffah,"Indian, American",
Japanese Private School,Al Bateen,Japanese,Very Good 
Polaris Private Academy,Al Dhafrah,MOE,Acceptable 
Yas Academy School,Al Dhafrah,MOE,Acceptable 
Al Iman Private School,AL Manhal,MOE,Acceptable 
Vision Private School,Al Mushrif,MOE,Acceptable 
Al Manhal International Private School,Al Mushrif,MOE,Acceptable 
Baraem Al Ain Private School,Al Muwaiji,MOE,Acceptable 
Al Muneera Private School,Baniyas East,MOE,Acceptable 
Al Ekhlass Private School,Baniyas East,MOE,Acceptable 
Al Manara Private School,Baniyas West,MOE,Acceptable 
Beit Al Maqdes International Private School,Khalifa City,MOE,Acceptable 
Ashbal Al Quds Private School,Shakbout City,MOE,Acceptable 
Modern Private School,Shakbout City,MOE,Acceptable 
Al Maharat Private School,Shakbout City,MOE,Acceptable 
Rosary School,Al Mushrif,MOE,Good
Horizon Private School (MOE),Khalifa City,MOE,Good
Al Bahya Private School,Khalifa City,MOE,Good
Al Bashair Private School,Mohamed Bin Zayed City,MOE,Good
Al Tharawat National Private School,Baniyas East,MOE,Very Weak 
Abu Mousa Al Ashaari Private School,Baniyas East,MOE,Weak 
Emirates Private School,Baniyas East,MOE,Weak 
Dar Al Uloom Private School,Baniyas West,MOE,Weak 
Scholars American International School,Shakbout City,"MOE, American",Acceptable 
Cambridge High School,AL Musaffah,"MOE, British",Good
Emirates Private School,Al Zaafarana,"MOE, British, American",Good
Al Dhabiania Private School,Shakbout City,"MOE, Islamic, Arabic",Good
Sheikh Khalifa bin Zayed Arab Pakistan Private School,Al Zaafarana,Pakistani,Acceptable 
Pakistan Community Welfare School,AL Musaffah,Pakistani,Weak 
International School of Choueifat,Al Mushrif,SABIS,Acceptable 
International School of Choueifat,Khalifa City,SABIS,Good
Islamia English School,Al Nahyan,British,Acceptable 
Emirates National Private School,Al Bateen,IB,Acceptable 
Saint Joseph's School,Al Mushrif,Indian,Good
